49,"11,01",10.32,9.58,9.48,"9,27","9,12",8.55,8.42,8.34,"8,27","8,2","8,15","8,13","8,11",9.39,"10,03","10,18",10.58,11.42,,
50,10.55,"10,26",9.53,9.43,"9,22","9,08",8.51,8.38,"8,31","8,23","8,15","8,11","8,1","8,08",9.36,10,"10,14",10.55,11.37,,
51,10.49,"10,18",9.48,9.38,"9,18","9,03",8.46,8.34,"8,27","8,2","8,11","8,08","8,06","8,05",9.34,9.58,"10,1","10,5",11.32,,
52,10.43,"10,13",9.43,9.34,"9,12",8.59,"8,4","8,31","8,23","8,15","8,08","8,05","8,03","8,02",9.31,9.55,"10,08",10.46,"11,27",,
53,10.37,"10,08",9.38,"9,29","9,08",8.55,8.34,"8,27","8,2","8,11","8,05","8,02",8,7.58,"9,29",9.53,"10,05",10.43,"11,22",,
54,10.32,"10,03",9.34,"9,25","9,03",8.49,"8,31","8,23","8,15","8,08","8,02",7.58,7.57,7.55,"9,27",9.51,"10,03","10,4","11,16",,
55,"10,26",9.58,"9,29","9,2",8.59,8.44,"8,27","8,2","8,11","8,05",7.58,7.55,7.54,7.52,"9,21",9.48,10,10.36,"11,11",,
56,"10,18",9.53,"9,25","9,16",8.55,8.38,"8,23","8,15","8,08","8,02",7.55,7.52,7.49,7.48,"9,18",9.44,9.58,10.32,"11,07",,
57,"10,13",9.48,"9,2","9,12",8.51,8.34,"8,2","8,11","8,05",7.58,7.52,7.48,7.46,7.45,"9,16",9.41,9.55,"10,29","11,02",,
58,"10,08",9.41,"9,16","9,05",8.47,"8,31","8,15","8,08","8,02",7.55,7.48,7.45,7.43,7.42,"9,14",9.37,9.53,"10,26",10.56,,
59,"10,03",9.36,"9,12",8.59,8.42,"8,27","8,11","8,05",7.58,7.52,7.45,7.42,"7,4",7.39,"9,11",9.34,9.51,"10,22",10.52,,
60,9.58,9.34,"9,05",8.55,8.38,"8,23","8,08","8,02",7.55,7.48,7.42,7.39,7.37,7.36,"9,08","9,3",9.48,"10,18",10.44,,
61,9.53,"9,29","9,01",8.53,8.34,"8,2","8,05",7.58,7.52,7.45,7.39,7.36,7.34,"7,3","9,04","9,27",9.44,"10,14","10,4",,
62,9.48,"9,2",8.57,8.47,"8,31","8,15","8,02",7.55,7.48,7.42,7.36,7.33,"7,31","7,29","9,01","9,24",9.41,"10,1",10.36,,
63,9.43,"9,16",8.51,8.42,"8,27","8,11",7.58,7.52,7.45,7.39,7.33,"7,29","7,26","7,24",8.59,"9,21",9.37,"10,06",10.32,,
64,9.38,"9,12",8.47,8.38,"8,23","8,08",7.55,7.48,7.42,7.36,"7,29","7,26","7,23","7,22",8.57,"9,17",9.34,"10,03","10,27",,
65,9.34,"9,08",8.44,8.34,"8,2","8,05",7.52,7.45,7.39,7.33,"7,26","7,23","7,2","7,19",8.55,"9,16","9,3",10,"10,23",,
66,"9,29","9,03","8,4","8,31","8,15","8,02",7.48,7.42,7.36,"7,29","7,23","7,2","7,18","7,16",8.53,"9,14","9,27",9.56,"10,19",,
67,"9,25",8.59,8.34,"8,27","8,11",7.58,7.45,7.39,7.33,"7,26","7,2","7,18","7,15","7,14",8.51,"9,12","9,24",9.53,"10,15",,
68,"9,2",8.55,"8,31","8,23","8,08",7.55,7.42,7.36,"7,29","7,23","7,18","7,15","7,12","7,11",8.49,"9,1","9,2",9.49,"10,11",,
69,"9,14",8.51,"8,27","8,18","8,05",7.52,7.39,7.33,"7,26","7,2","7,15","7,12","7,1","7,09",8.47,"9,08","9,17",9.45,"10,1",,
70,"9,08",8.47,"8,23","8,13","8,02",7.48,7.36,"7,29","7,23","7,18","7,12","7,09","7,07","7,06",8.46,"9,05","9,14",9.43,"10,05",,
71,"9,03",8.44,"8,2","8,1",7.58,7.45,7.33,"7,26","7,2","7,15","7,09","7,06","7,05","7,04",8.43,"9,02","9,12",9.39,10,,
72,8.59,8.38,"8,15","8,06",7.55,7.42,"7,3","7,23","7,18","7,12","7,06","7,04","7,02","7,01","8,4",8.59,"9,1",9.36,9.55,,
73,8.55,8.34,"8,11","8,03",7.52,7.39,"7,27","7,2","7,15","7,09","7,04","7,01",7,6.59,8.37,8.56,"9,08",9.33,"9,5",,
74,8.51,"8,31","8,08",8,7.48,7.36,"7,24","7,18","7,12","7,06","7,01",6.59,6.57,6.56,8.34,8.53,"9,05","9,29",9.45,,
75,8.47,"8,27","8,05",7.57,7.45,7.33,"7,22","7,15","7,09","7,04",6.59,6.56,6.55,6.54,8.32,"8,5","9,03","9,27",9.41,,
76,8.44,"8,23","8,02",7.54,7.42,"7,29","7,19","7,12","7,06","7,01",6.56,6.54,6.53,6.51,"8,29",8.48,"9,01","9,25",9.36,,
77,8.38,"8,2",7.58,7.49,7.37,"7,26","7,18","7,09","7,04",6.59,6.54,"6,5",6.49,6.48,"8,26",8.45,8.58,"9,22",9.32,,
